http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4531,"Canadian Space Agency","UNIVERSITY OF WATERLOO",9F00720249,2002-10-08,"201 - Travel - public servants","2002-10-08 to 2009-09-30",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4432,"Canadian Space Agency","EMS TECHNOLOGIES CANADA LTD.",9F00630197,2004-09-01,"201 - Travel - public servants","2004-09-01 to 2013-09-30",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4391,"Canadian Space Agency","AIR PRODUCTS CANADA LTD",9F01050001,2005-06-23,"533 - Rental of machinery, office furniture","2005-06-23 to 2010-08-31",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4527,"Canadian Space Agency","UNIVERSITY OF BRITISH COLUMBIA",7000843,2005-06-30,"431 - Scientific consultants","2005-06-30 to 2011-03-31",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4507,"Canadian Space Agency","SED SYSTEMS INC.",9F00540198,2005-09-22,"431 - Scientific consultants","2005-09-22 to 2009-11-20",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4512,"Canadian Space Agency","STARSPEC ASSOCIATES INC.",7002956,2006-06-09,"431 - Scientific consultants","2006-06-09 to 2009-06-30",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4466,"Canadian Space Agency","MACDONALD DETTWILER AND",9F00660129,2006-07-12,"420 - Engineering serv. not elsewhere specified","2006-07-12 to 2011-12-20",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4377,"Canadian Space Agency","9034-3476 QU&Eacute;BEC INC.",7000255,2007-05-01,"201 - Travel - public servants","2007-05-01 to 2009-11-30",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4427,"Canadian Space Agency",DUOCOM,7005385,2007-10-25,"859 - Other business services not specified","2007-10-25 to 2009-10-31",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4394,"Canadian Space Agency","ATHENA GLOBAL INC",7005966,2008-03-18,"491 - Management consulting","2008-03-18 to 2010-03-31",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4459,"Canadian Space Agency","L-3 COMMUNICATIONS MAPPS INC",9F00571042,2008-04-01,"420 - Engineering serv. not elsewhere specified","2008-04-01 to 2011-03-31",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4468,"Canadian Space Agency","MACDONALD DETTWILER SPACE AND",9F00560984,2008-06-01,"420 - Engineering serv. not elsewhere specified","2008-06-01 to 2012-05-31",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4434,"Canadian Space Agency","EXCEL HUMAN RESOURCES INC.",7006354,2008-08-18,"813 - Temporary help services","2008-08-18 to 2009-12-31",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4423,"Canadian Space Agency","DISTINCTION SERVICE D&#39;ENTRETIEN",7006414,2008-09-08,"859 - Other business services not specified","2008-09-08 to 2010-09-07",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4490,"Canadian Space Agency","NORTHERN CENTRE FOR ADVANCED",9F02880482,2008-09-10,"431 - Scientific consultants","2008-09-10 to 2010-04-12",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4526,"Canadian Space Agency","UNIVERSITY OF BRITISH COLOMBIA",9F00780240,2008-10-09,"430 - Scientific services, excluding consultants","2008-10-09 to 2010-03-31",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4529,"Canadian Space Agency","UNIVERSITY OF LETHBRIDGE",9F00781119,2009-01-01,"431 - Scientific consultants","2009-01-01 to 2009-09-30",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4530,"Canadian Space Agency","UNIVERSITY OF TORONTO",9F00781113,2009-01-22,"430 - Scientific services, excluding consultants","2009-01-22 to 2010-12-31",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4513,"Canadian Space Agency","TELE-RESSOURCES LTEE",7006782,2009-01-26,"813 - Temporary help services","2009-01-26 to 2009-08-18",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=22&id=4483,"Canadian Space Agency","NICOLINI CONSTRUCTION LTD.",7006799,2009-01-29,"1226 - Computer equipment large/medium","2009-01-29 to 2009-08-31",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=21&id=4298,"Canadian Space Agency","MACDONALD DETTWILER AND ASS.",7000158,1999-01-11,"201 - Travel - public servants","1999-01-11 to 2010-03-31",,,
http://www.asc-csa.gc.ca/eng/publications/contracts-d.asp?trimestre=21&id=4267,"Canadian Space Agency","EMS TECHNOLOGIES CANADA LTD.",9F00630197,2004-09-01,"201 - Travel - public servants","2004-09-01 to 2013-09-30",,,
