http://www.psic-ispc.gc.ca/pd-cp/contract.php?yyyy_aaaa=2009&quarter_trimestre=1&cid=37&lang=eng,"Public Sector Integrity Canada","&Eacute;cole nationale d&#39;administration publique",P1000063,2009-06-24,"492 - Research contracts","Jun. 29 to Oct. 30, 2009",,24000.00,"To submit a comparative study on whistleblowing regimes."
http://www.psic-ispc.gc.ca/pd-cp/contract.php?yyyy_aaaa=2009&quarter_trimestre=1&cid=35&lang=eng,"Public Sector Integrity Canada","Mapleview Consulting",P1000055,2009-05-29,"499 - Other Professional Services not Elsewhere Specified","Jun. 2 to 30, 2009",,24991.60,"To provide expert advice and support the Commissioner with Consultative Process on Systemic Issues."
http://www.psic-ispc.gc.ca/pd-cp/contract.php?yyyy_aaaa=2009&quarter_trimestre=1&cid=33&lang=eng,"Public Sector Integrity Canada","Kernaghan, Kenneth",P1000052,2009-05-26,"499 - Other Professional Services not Elsewhere Specified","May 27 to Jun. 30, 2009",,24525.00,"To develop, execute and report on two sessions for the 2010 International Symposium."
http://www.psic-ispc.gc.ca/pd-cp/contract.php?yyyy_aaaa=2009&quarter_trimestre=1&cid=30&lang=eng,"Public Sector Integrity Canada","Brock, William",P1000036,2009-04-30,"491 - Management Consulting","May 31, 2009 to Mar. 31, 2010",,24999.00,"To act as a Member of the Office of the Public Sector Integrity Commissioner&#39;s Audit Committee."
http://www.psic-ispc.gc.ca/pd-cp/contract.php?yyyy_aaaa=2009&quarter_trimestre=1&cid=34&lang=eng,"Public Sector Integrity Canada","LEXISNEXIS CANADA INC.",P1000032,2009-04-27,"701 - Subscription","May 1, 2009 to May 1, 2011",,10949.40,"Subscription to LexisNexis Quicklaw Online."
http://www.psic-ispc.gc.ca/pd-cp/contract.php?yyyy_aaaa=2009&quarter_trimestre=1&cid=32&lang=eng,"Public Sector Integrity Canada","Gary Breen and Associates",P1000025,2009-04-17,"351 - Communications Professional Services not Elsewhere Specified","Apr. 17, 2009 to Mar. 31, 2010",,10000.00,"To provide strategic communications advice."
http://www.psic-ispc.gc.ca/pd-cp/contract.php?yyyy_aaaa=2008&quarter_trimestre=4&cid=29&lang=eng,"Public Sector Integrity Canada","Dollco Printing",P1000008,2009-03-30,"321 - Printing Services","Apr. 6 to May 15, 2009",,13979.45,"Printing of 2008-2009 Annual Report."
http://www.psic-ispc.gc.ca/pd-cp/contract.php?yyyy_aaaa=2008&quarter_trimestre=3&cid=28&lang=eng,"Public Sector Integrity Canada","TRM Technologies Inc.",PO900085,2008-12-17,"472 - Information Technology Consultants","Dec. 16, 2008 to Mar. 31, 2009",,50400.00,"Procurement of Professional Services for an IT Security Threat and Risk Assessment Analyst to perform a Threat and Risk Assessment."
http://www.psic-ispc.gc.ca/pd-cp/contract.php?yyyy_aaaa=2008&quarter_trimestre=3&cid=24&lang=eng,"Public Sector Integrity Canada","175213 Canada Inc",PO900082,2008-11-24,"499 - Other Professional Services not elsewhere specified","Dec. 15, 2008 to Feb. 15, 2009",,43470.00,"Documentation of internal controls and revision of March 31st, 2008 opening balance."
http://www.psic-ispc.gc.ca/pd-cp/contract.php?yyyy_aaaa=2008&quarter_trimestre=3&cid=27&lang=eng,"Public Sector Integrity Canada","Kernaghan, Kenneth",PO900067,2008-10-23,"492 - Research Contracts","Oct. 20, 2008 to Mar. 31, 2009",,24000.00,"To submit a report on US experience as it relates to wrongdoing in preparation of Symposium in 2010; to identify key US academics/speakers and to provide advice on how to portray Canada as a pioneer in the area of disclosure of wrongdoing."
http://www.psic-ispc.gc.ca/pd-cp/contract.php?yyyy_aaaa=2008&quarter_trimestre=3&cid=26&lang=eng,"Public Sector Integrity Canada","Bell Canada",PO900047,2008-10-22,"220 - Telephone and Other Voice Services","Mar. 31, 2008 to Apr. 1, 2009",,14374.12,"Monthly service charges for the Office (OPSIC) telephone lines and telephone lines transfer charges from Canada Public Service Agency to OPSIC."
http://www.psic-ispc.gc.ca/pd-cp/contract.php?yyyy_aaaa=2008&quarter_trimestre=3&cid=25&lang=eng,"Public Sector Integrity Canada","Artemp Personnel Services Inc",PO900065,2008-10-14,"813 - Temporary Help Services","Oct. 20 to Dec. 19, 2008",,23100.00,"To provide general operational staffing services (Operational Staffing Activities- Stream H)."
