http://www.ocol-clo.gc.ca/html/dp_ca_831_e.php,"Office of the Commissioner of Official Languages","BBG Management Corporation",11-038,2010-06-30,"0472 Informatics operational software consultant","June 30, 2010 to&amp;nbspJune 24, 2011",,24153.75,
http://www.ocol-clo.gc.ca/html/dp_ca_830_e.php,"Office of the Commissioner of Official Languages","Nashel Management Inc.",11-035,2010-06-24,"0491 Management Consulting Services","June 24, 2010 to&amp;nbspMarch 31, 2011",,24860.00,
http://www.ocol-clo.gc.ca/html/dp_ca_829_e.php,"Office of the Commissioner of Official Languages","Harrington Marketing Limited",OP001-10-0503,2010-06-22,"0813 Temporary Help Services","June 22, 2010 to&amp;nbspMay 14, 2011",,23328.62,
http://www.ocol-clo.gc.ca/html/dp_ca_828_e.php,"Office of the Commissioner of Official Languages","Harrington Marketing Limited",OP001-10-0502,2010-06-09,"0813 Temporary Help Services","June 9, 2010 to&amp;nbspSeptember 30, 2010",,15422.89,
http://www.ocol-clo.gc.ca/html/dp_ca_827_e.php,"Office of the Commissioner of Official Languages","Norman Bloom Enterprise Inc.",11-030,2010-05-31,"0491 Management Consulting Services","May 31, 2010 to&amp;nbspSeptember 30, 2010",,24929.20,
http://www.ocol-clo.gc.ca/html/dp_ca_826_e.php,"Office of the Commissioner of Official Languages","Ingride Roy",11-027,2010-05-28,"0410 Legal Professional Services","May 28, 2010 to&amp;nbspMarch 31, 2012",,15000.00,
http://www.ocol-clo.gc.ca/html/dp_ca_825_e.php,"Office of the Commissioner of Official Languages","PDG People Development Global Inc.",OP001-10-0014,2010-05-28,"0491 Management Consulting Services","May 28, 2010 to&amp;nbspDecember 30, 2010",,11760.00,
http://www.ocol-clo.gc.ca/html/dp_ca_824_e.php,"Office of the Commissioner of Official Languages","Heenan Blaikie LLP",11-028,2010-05-21,"0410 Legal Professional Services","May 21, 2010 to&amp;nbspMarch 31, 2012",,15000.00,
http://www.ocol-clo.gc.ca/html/dp_ca_823_e.php,"Office of the Commissioner of Official Languages","Gilmore Printing Services",OP001-10-0011,2010-05-18,"0321 Printing Services","May 18, 2010",,13148.10,
http://www.ocol-clo.gc.ca/html/dp_ca_822_e.php,"Office of the Commissioner of Official Languages","175213 Canada Inc. (Samson &amp; Associates)",11-021,2010-05-12,"0401 Accounting and Audit Services","May 12, 2010 to&amp;nbspOctober 31, 2010",,23887.50,
http://www.ocol-clo.gc.ca/html/dp_ca_821_e.php,"Office of the Commissioner of Official Languages","Ekos Research Associates",11-020,2010-05-10,"0492 Recherche Services","May 10, 2010 to&amp;nbspMarch 11, 2011",,51947.20,
http://www.ocol-clo.gc.ca/html/dp_ca_820_e.php,"Office of the Commissioner of Official Languages","C.B.-Z Inc",OP001-10-0007,2010-05-07,"0491 Management Consulting Services","May 7, 2010 to&amp;nbspJuly 30, 2010",,14490.00,
http://www.ocol-clo.gc.ca/html/dp_ca_819_e.php,"Office of the Commissioner of Official Languages","C.B.-Z Inc",OP001-10-0008,2010-05-07,"0491 Management Consulting Services","May 7, 2010 to&amp;nbspAugust 31, 2010",,12316.50,
