http://www.ceaa-acee.gc.ca/contracts-contrats/index-eng.cfm?state=detail&id=24718&quarter=1&fiscal=2009%2C%202010,"Canadian Environmental Assessment Agency","NALY MANAGEMENT CONSULTING INC",K4430-09-0007,2009-06-25,"0491 Other Prof. Serv. - Management consulting - OGD or programs","2009-06-25 to 2009-12-30",,60000.00,"Provide human resources consultation services to the Agency."
http://www.ceaa-acee.gc.ca/contracts-contrats/index-eng.cfm?state=detail&id=24725&quarter=1&fiscal=2009%2C%202010,"Canadian Environmental Assessment Agency","RENAUD EXPERTISE INC.",4277,2009-06-24,"0494 Other Prof. Serv. - Translation services","2008-04-01 to 2010-03-31",,200000.00,"Provide translation services to the Agency through the Language Services Unit. For the Q1 2008-2009 period, $100,000.00 was disclosed. An amendment of $100,000.00 was made for a total of $200,000.00."
http://www.ceaa-acee.gc.ca/contracts-contrats/index-eng.cfm?state=detail&id=24717&quarter=1&fiscal=2009%2C%202010,"Canadian Environmental Assessment Agency","WHITE SADDLE AIR SERVICES LTD.",K4220-09-0016,2009-06-09,"0561 Rental of aircraft","2009-06-03 to 2009-06-05",,14680.00,"Provide helicopter charter services for Agency staff and Panel members to attend a site visit for the Prosperity Gold-Copper Mine Project."
http://www.ceaa-acee.gc.ca/contracts-contrats/index-eng.cfm?state=detail&id=24716&quarter=1&fiscal=2009%2C%202010,"Canadian Environmental Assessment Agency","2203782 ONTARIO INCORPORATED",K4450-09-0009,2009-06-03,"0491 Other Prof. Serv. - Management consulting - OGD or programs","2009-06-04 to 2009-09-30",,23800.00,"Provide services to develop an information management strategy for the Agency."
http://www.ceaa-acee.gc.ca/contracts-contrats/index-eng.cfm?state=detail&id=24715&quarter=1&fiscal=2009%2C%202010,"Canadian Environmental Assessment Agency","ALTIS HUMAN RESOURCES",K4330-09-0010,2009-06-03,"0813 Temporary help services","2009-05-25 to 2009-09-04",,19162.50,"Provide temporary support to the Operational Support Directorate - staffing process is ongoing."
http://www.ceaa-acee.gc.ca/contracts-contrats/index-eng.cfm?state=detail&id=24714&quarter=1&fiscal=2009%2C%202010,"Canadian Environmental Assessment Agency","PAUL POLLACK PERSONNEL LIMITED",K4330-09-0011,2009-05-27,"0813 Temporary help services","2009-06-25 to 2009-09-04",,26378.15,"Provide temporary support to the Operational Support Directorate - staffing process is ongoing."
http://www.ceaa-acee.gc.ca/contracts-contrats/index-eng.cfm?state=detail&id=24713&quarter=1&fiscal=2009%2C%202010,"Canadian Environmental Assessment Agency","XEROX CANADA LTD.",K4441-09-0006,2009-04-24,"0533 Rental of machinery, office furniture and fixtures, and other equipment","2009-05-01 to 2014-04-30",,17178.00,"Rental of WorkCenter for period of May 2009 to April 2014 for the Agency&#39;s Winnipeg Region."
http://www.ceaa-acee.gc.ca/contracts-contrats/index-eng.cfm?state=detail&id=24712&quarter=1&fiscal=2009%2C%202010,"Canadian Environmental Assessment Agency","XEROX CANADA LTD.",K4441-08-0150,2009-04-23,"0533 Rental of machinery, office furniture and fixtures, and other equipment","2009-04-01 to 2014-03-31",,13608.00,"Rental of a photocopier for the period of April 2009 to March 2014 for the Agency."
http://www.ceaa-acee.gc.ca/contracts-contrats/index-eng.cfm?state=detail&id=24710&quarter=1&fiscal=2009%2C%202010,"Canadian Environmental Assessment Agency","EXCEL HUMAN RESOURCES",K4220-09-0004,2009-04-21,"0813 Temporary help services","2009-04-23 to 2009-08-05",,15035.63,"Provide temporary support to the Panel Secretariat Group - staffing process is ongoing."
http://www.ceaa-acee.gc.ca/contracts-contrats/index-eng.cfm?state=detail&id=24711&quarter=1&fiscal=2009%2C%202010,"Canadian Environmental Assessment Agency","THE 500 STAFFING SERVICES INC.",K4440-09-0005,2009-04-21,"0813 Temporary help services","2009-04-15 to 2009-12-31",,28473.90,"Provide temporary support to the Finance and Administration Group."
http://www.ceaa-acee.gc.ca/contracts-contrats/index-eng.cfm?state=detail&id=24709&quarter=1&fiscal=2009%2C%202010,"Canadian Environmental Assessment Agency","CNW GROUP LTD.",K4410-09-0001,2009-04-18,"0351 Communications professional services not elsewhere specified","2009-04-16 to 2009-10-15",,17200.00,"Provide media distribution services for the Communications Group."
http://www.ceaa-acee.gc.ca/contracts-contrats/index-eng.cfm?state=detail&id=24708&quarter=1&fiscal=2009%2C%202010,"Canadian Environmental Assessment Agency","DARE HUMAN RESOURCES CORPORATION",K4410-09-0002,2009-04-15,"0813 Temporary help services","2009-04-02 to 2009-07-31",,20853.75,"Provide temporary support to the Communications Group by replacing an employee on an acting assignment for 4 months."
