http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2009-2010/Q1/fournisseur-vendor_12.asp,"Transportation Safety Board of Canada","Joubert Management Consulting Services Inc.",4M005-09-0006,2009-06-30,"0491 - Management Consulting","2009-07-06 to 2009-12-15",,85.890,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2009-2010/Q1/fournisseur-vendor_11.asp,"Transportation Safety Board of Canada","Cadrho Inc.",4M015-09-0001,2009-06-20,"0351 - Communications Professional Services not Elsewhere Specified","2009-06-20 to 2011-06-20",,10.500,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2009-2010/Q1/fournisseur-vendor_10.asp,"Transportation Safety Board of Canada","Rail Sciences Inc.",4M033-09-0006,2009-06-09,"1228 - Software","2009-04-01 to 2010-03-31",,23673.30,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2009-2010/Q1/fournisseur-vendor_9.asp,"Transportation Safety Board of Canada","Justice Institute of British Columbia",4M044-09-0001,2009-06-03,"0446 - Teacher - Training Consultant","2009-09-28 to 2009-10-02",,24281.25,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2009-2010/Q1/fournisseur-vendor_8.asp,"Transportation Safety Board of Canada","Sharp Electronics",4M007-09-0023,2009-05-22,"0525 - Rental of Computer Equipment","2009-06-01 to 2012-05-31",,87053.40,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2009-2010/Q1/fournisseur-vendor_7.asp,"Transportation Safety Board of Canada","Sharp Electronics",4M033-09-0002,2009-05-19,"0525 - Rental of Computer Equipment","2009-06-01 to 2012-05-31",,21016.80,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2009-2010/Q1/fournisseur-vendor_6.asp,"Transportation Safety Board of Canada","Sharp Electronics",4M007-09-0018,2009-05-19,"0525 - Rental of Computer Equipment","2009-06-01 to 2012-05-31",,51729.30,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2009-2010/Q1/fournisseur-vendor_5.asp,"Transportation Safety Board of Canada","Air Canada",4M021-09-0002,2009-05-06,"0447 - Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2009-05-07 to 2012-03-31",,12814.20,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2009-2010/Q1/fournisseur-vendor_13.asp,"Transportation Safety Board of Canada","QMR Staffing Solutions Inc.",4M005-07-CS005,2009-05-05,"0491 - Management Consulting","2007-06-13 to 2010-03-31",,189.000,"Original contract value was $137,800.00. This amendment represents an increase of $51,200.00."
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2009-2010/Q1/fournisseur-vendor_4.asp,"Transportation Safety Board of Canada","IceFire Studios",4M025-09-0013,2009-04-09,"1228 - Software","2009-04-09 to 2009-04-09",,10.290,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2009-2010/Q1/fournisseur-vendor_3.asp,"Transportation Safety Board of Canada","Anthony Macauley Associates",4M007-09-0002,2009-04-01,"0524 - Rental of Software","2009-04-01 to 2010-03-31",,21896.70,"Annual license (including maintenance and support)"
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2009-2010/Q1/fournisseur-vendor_2.asp,"Transportation Safety Board of Canada","Anthony Macauley Associates",4M007-09-0004,2009-04-01,"0499 - Other Professional Services not Elsewhere Specified","2009-04-01 to 2010-03-31",,10754.73,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2009-2010/Q1/fournisseur-vendor_1.asp,"Transportation Safety Board of Canada","CNW Group Ltd.",4M024-09-0001,2009-04-01,"0351 - Communications Professional Services not Elsewhere Specified","2009-04-01 to 2010-03-31",,10.500,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2009-2010/Q1/fournisseur-vendor_14.asp,"Transportation Safety Board of Canada","QMR Staffing Solutions Inc.",4M007-08-0054,2009-01-05,"0813 - Temporary Help Services","2009-01-06 to 2009-09-31",,88806.38,"Original contract value was $40,597.20. Amendments represent a total increase of $48,209.18."
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2009-2010/Q1/fournisseur-vendor_15.asp,"Transportation Safety Board of Canada","Knowledge Circle",4M036-08-0008,2008-09-26,"0447 - Tuition fees and costs of attending courses including seminars not elsewhere specified","2009-01-05 to 2009-07-23",,38.250,"Original contract value was $27,450.00. This amendment represents an increase of $10,800.00."
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2008-2009/Q4/fournisseur-vendor_28.asp,"Transportation Safety Board of Canada","Telus Communications Inc.",4M013-05-0134-4,2009-03-31,"0226-Data Communications Services (Including All Non-voice Telecommunications Services)","2009-04-01 to 2010-03-31",,792750.00,"Original contract value was $687,582.00 on 2006-04-01. This amendment no. 4 represents an increase of $136,806.40 to cover cost of option year no. 1."
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2008-2009/Q4/fournisseur-vendor_27.asp,"Transportation Safety Board of Canada",PerkinElmer,4M033-08-0120,2009-03-03,"1243-Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","2009-03-03 to 2009-03-31",,18690.00,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2008-2009/Q4/fournisseur-vendor_25.asp,"Transportation Safety Board of Canada","Global Upholstery",4M007-08-0071,2009-02-27,"1231-Office Furniture and Furnishings, Including Parts","2009-02-27 to 2009-03-31",,10477.32,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2008-2009/Q4/fournisseur-vendor_24.asp,"Transportation Safety Board of Canada","Les Interieurs Decorleans",4M007-08-0068,2009-02-26,"1231-Office Furniture and Furnishings, Including Parts","2009-02-26 to 2009-03-15",,12827.85,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2008-2009/Q4/fournisseur-vendor_26.asp,"Transportation Safety Board of Canada","Legere Ind. Supplies",4M033-08-0082,2009-02-25,"1211-Special Industry Machinery","2009-02-25 to 2009-03-19",,37275.00,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2008-2009/Q4/fournisseur-vendor_23.asp,"Transportation Safety Board of Canada","Nova Visual",4M007-08-0064,2009-02-23,"1223-Image/Video Equipment","2009-03-12 to 2009-03-31",,13312.50,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2008-2009/Q4/fournisseur-vendor_21.asp,"Transportation Safety Board of Canada","Honeywell Engines &amp; Systems",4M033-08-0037,2009-02-18,"1211-Special Industry Machinery","2009-02-18 to 2009-03-31",,32168.85,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2008-2009/Q4/fournisseur-vendor_20.asp,"Transportation Safety Board of Canada",Acculift,4M007-08-0063,2009-02-17,"1159-Miscellaneous Textiles, Headgear, Umbrellas, etc.","2009-02-17 to 2009-03-31",,20355.30,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2008-2009/Q4/fournisseur-vendor_19.asp,"Transportation Safety Board of Canada","Legere Industrial Supplies",4M033-08-0105,2009-02-16,"1211-Special Industry Machinery","2009-02-16 to 2009-03-31",,24570.00,
http://www.tsb.gc.ca/eng/divulgation-disclosure/contrats-contracts/2008-2009/Q4/fournisseur-vendor_18.asp,"Transportation Safety Board of Canada","Grand &amp; Toy",4M025-08-0084,2009-02-13,"1172-Office and Stationers Supplies","2009-02-13 to 2009-02-26",,10057.74,
