http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=582,"National Energy Board","Eagle Resource Professionals Inc.",080165,2008-12-29,"0602 Information Technology Consultants","2008-12-22 to 2009-03-20",,"$14,868.00",
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=591,"National Energy Board","AVW-TELAV Audio Visual Solutions",080166,2008-12-29,"0713 Audio-Visual Services","2008-12-19 to 2009-01-16",,"$10,647.00",
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=581,"National Energy Board","Informetrica Ltd.",080144,2008-12-23,"0617 Other Professional Services","2008-12-23 to 2009-05-31",,"$50,000.00",
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=580,"National Energy Board","IT Services Canada Ltd.",080145,2008-12-17,"0617 Other Professional Services","2008-12-17 to 2009-03-31",,"$55,398.00",
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=579,"National Energy Board","IT Services Canada Ltd.",080146,2008-12-15,"0617 Other Professional Services","2008-12-15 to 2009-03-31",,"$56,700.00",
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=569,"National Energy Board","NewEra Technology",080156,2008-12-08,"0602 Information Technology Consultants","2008-12-08 to 2009-01-15",,"$16,380.00",
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=567,"National Energy Board","Marie-Claude Ursulescu",080126,2008-11-26,"0613 Translation Services","2008-11-26 to 2010-03-31",,"$75,000.00",
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=568,"National Energy Board","Lyse Brisson",080127,2008-11-26,"0613 Translation Services","2008-11-26 to 2010-03-31",,"$75,000.00",
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=566,"National Energy Board","Andrew Francis &amp; Associates",080112,2008-11-21,"0617 Other Professional Services","2008-11-21 to 2009-03-31",,"$75,000.00",
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=578,"National Energy Board","Nisha Technologies",080150,2008-11-18,"1104 Server / Printers / Components","2008-11-18 to 2008-12-15",,"$17,955.00",
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=575,"National Energy Board","Service Master of Canada",080121,2008-10-29,"0621 Non Professional Services","2008-09-01 to 2009-08-31",,"$11,020.80",
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=576,"National Energy Board","Service Master of Canada",080120,2008-10-29,"0621 Non Professional Services","2008-09-01 to 2008-08-31",,"$18,100.95",
