http://wwwapps2.tc.gc.ca/Corp-Serv-Gen/2/PDC-DPC/contract/detail.asp?Contract_ID=426780,"Transport Canada","AVIALL CANADA LTD.",AS-1178-0044899,2011-06-30,"Aircraft parts",,2011/7/30,19952.94,"This contract is a call-up against a Public Works and Government Services procurement tool."
http://wwwapps2.tc.gc.ca/Corp-Serv-Gen/2/PDC-DPC/contract/detail.asp?Contract_ID=426781,"Transport Canada","LOGIC-CONTROLE INC.",T3125-070135,2011-06-30,"Other business services not elsewhere specified","2008/7/1 to 2011/12/31",,78128.43,"This contract includes one or more amendments. This contract was competitively sourced."
http://wwwapps2.tc.gc.ca/Corp-Serv-Gen/2/PDC-DPC/contract/detail.asp?Contract_ID=426782,"Transport Canada","QUANTUM MANAGEMENT SERVICES LTD.",T8086-110232,2011-06-30,"Temporary help services","2011/6/30 to 2012/5/4",,62907.81,"This contract is a call-up against a Public Works and Government Services procurement tool."
http://wwwapps2.tc.gc.ca/Corp-Serv-Gen/2/PDC-DPC/contract/detail.asp?Contract_ID=426783,"Transport Canada","UNIVERSITE LAVAL",T8125-Agree-82C7-10,2011-06-30,"Scientific services","2011/1/1 to 2012/3/31",,113000.00,"This contract includes one or more amendments. This contract was awarded by Public Works and Government Services Canada."
http://wwwapps2.tc.gc.ca/Corp-Serv-Gen/2/PDC-DPC/contract/detail.asp?Contract_ID=426784,"Transport Canada","VERITAAQ TECHNOLOGY HOUSE",T8080-100514,2011-06-30,"Information technology consultants","2010/12/21 to 2012/3/31",,280836.64,"This contract includes one or more amendments. This contract is a call-up against a Public Works and Government Services procurement tool."
http://wwwapps2.tc.gc.ca/Corp-Serv-Gen/2/PDC-DPC/contract/detail.asp?Contract_ID=426785,"Transport Canada","BRAINHUNTER OTTAWA",T8080-03-0019/4,2011-06-29,"Management consulting","2005/6/20 to 2012/3/31",,330503.13,"This contract includes one or more amendments. This contract is a call-up against a Transport Canada standing offer"
http://wwwapps2.tc.gc.ca/Corp-Serv-Gen/2/PDC-DPC/contract/detail.asp?Contract_ID=426786,"Transport Canada","QUANTUM MANAGEMENT SERVICES LTD.",T8800-110038,2011-06-29,"Temporary help services","2011/6/29 to 2012/3/2",,63765.90,"This contract is a call-up against a Public Works and Government Services procurement tool."
http://wwwapps2.tc.gc.ca/Corp-Serv-Gen/2/PDC-DPC/contract/detail.asp?Contract_ID=426787,"Transport Canada","BELL HELICOPTER TEXTRON",AS-1178-0044894,2011-06-28,"Aircraft parts",,2011/7/10,10663.13,"This contract is a call-up against a Public Works and Government Services procurement tool."
http://wwwapps2.tc.gc.ca/Corp-Serv-Gen/2/PDC-DPC/contract/detail.asp?Contract_ID=426788,"Transport Canada","DELL CANADA",T3300-11-0079,2011-06-28,"Computer equipment - small-desktop/ personal/ portable/keyboard",,2011/7/13,11995.20,"This contract is a call-up against a Public Works and Government Services procurement tool."
http://wwwapps2.tc.gc.ca/Corp-Serv-Gen/2/PDC-DPC/contract/detail.asp?Contract_ID=426789,"Transport Canada","GARDA DU CANADA",T1704-110008,2011-06-28,"Protection services","2011/7/1 to 2012/6/30",,24780.00,"This contract was sole sourced."
http://wwwapps2.tc.gc.ca/Corp-Serv-Gen/2/PDC-DPC/contract/detail.asp?Contract_ID=426790,"Transport Canada","GREENLINE SYSTEMS INC.",T8086-090908/1,2011-06-28,"Computer software","2010/6/1 to 2012/3/31",,654960.00,"This contract includes one or more amendments. This contract was awarded by Public Works and Government Services Canada."
http://wwwapps2.tc.gc.ca/Corp-Serv-Gen/2/PDC-DPC/contract/detail.asp?Contract_ID=426791,"Transport Canada","IMPERIAL OIL LIMITED",T6070-110003,2011-06-28,"Aviation fuel",,2011/6/30,105000.00,"This contract includes one or more amendments. This contract is a call-up against a Public Works and Government Services procurement tool."
