http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12613&lang=eng,"National Research Council Canada","DALIAN ENTERPRISES",200100111,0208-12-02,"1226 COMPUTER EQUIPMENT-LARGE/MEDIUM-MAINFRAME/MINI","2008-12-02 to 2009-02-01",,15340.50,
http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12060&lang=eng,"National Research Council Canada","AIR PRODUCTS CANADA LTD.",682457,2008-01-09,"1139 MISCELLANEOUS CHEMICAL PRODUCTS (SPECIFY)","2008-09-01 to 2009-03-31",,21000.00,
http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12028&lang=eng,"National Research Council Canada","MOUSE SPECIFICS",681870,2008-01-10,"1211 SPECIAL INDUSTRY MACHINERY","2008-10-01 to 2008-10-24",,23945.48,
http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12573&lang=eng,"National Research Council Canada","MUNTERS INC.",3118484358,2008-01-10,"1243 MEASURING, CONTROLLING, LABORATORY, MEDICAL AND OP","2008-10-01 to 2008-10-31",,41586.30,
http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12567&lang=eng,"National Research Council Canada","CAELLIOTT INC.",3118483631,2008-01-10,"670 COMPUTER EQUIPMENT-HARDWARE AND SOFTWARE","2008-10-01 to 2013-09-30",,254504.41,
http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12026&lang=eng,"National Research Council Canada","LCI ENGINEERING INC",681841,2008-01-10,"422 ENGINEERING CONSULTANTS-CONSTRUCTION","2008-10-01 to 2009-03-31",,24937.50,
http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12164&lang=eng,"National Research Council Canada","THYSSENKRUPP ELEVATOR",684157,2008-01-10,"645 OTHER BUILDINGS (SPECIFY)","2008-10-01 to 2009-09-30",,15249.16,
http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12207&lang=eng,"National Research Council Canada","AIR PRODUCTS CANADA LTD",684647,2008-01-10,"1139 MISCELLANEOUS CHEMICAL PRODUCTS (SPECIFY)","2008-10-01 to 2009-03-31",,24150.00,
http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12029&lang=eng,"National Research Council Canada",CBCITELECOM,681873,2008-01-10,"1211 SPECIAL INDUSTRY MACHINERY","2008-10-01 to 2008-10-24",,16345.95,
http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12027&lang=eng,"National Research Council Canada","LCI ENGINEERING INC",681855,2008-01-10,"422 ENGINEERING CONSULTANTS-CONSTRUCTION","2008-10-01 to 2009-03-31",,24937.50,
http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12098&lang=eng,"National Research Council Canada","V. BEDE TECHNICAL ASSOCIATES",683118,2008-01-11,"430 SCIENTIFIC SERVICES, EXCLUDING CONSULTANTS (SPECIF","2008-11-01 to 2009-03-31",,26250.00,
http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12597&lang=eng,"National Research Council Canada","VIRTUAL MARINE TECHNOLOGY INC.",3123486129,2008-01-12,"446 TRAINING CONSULTANTS (SPECIFY)","2008-12-01 to 2009-03-31",,130515.00,
http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12328&lang=eng,"National Research Council Canada","CBY CONSULTING",686371,2008-01-12,"430 SCIENTIFIC SERVICES, EXCLUDING CONSULTANTS (SPECIF","2008-12-01 to 2009-11-30",,17928.13,
http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12295&lang=eng,"National Research Council Canada","OPSIS GESTION D&#39;INFRASTRUCTURES INC",685782,2008-01-12,"645 OTHER BUILDINGS (SPECIFY)","2008-12-01 to 2009-01-31",,81936.64,
http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12548&lang=eng,"National Research Council Canada","BRUKER OPTICS INC",3118480581,2008-01-12,"1211 SPECIAL INDUSTRY MACHINERY","2008-12-01 to 2008-02-12",,34792.82,
http://www.nrc-cnrc.gc.ca/disclosure/contracts/contract.php?action=details&id=12554&lang=eng,"National Research Council Canada","DANTEC DYNAMICS INC.",3118481989,2008-01-12,"1243 MEASURING, CONTROLLING, LABORATORY, MEDICAL AND OP","2008-12-01 to 2009-01-15",,57198.89,
