http://www.wd.gc.ca/eng/7772.asp?id=915,"Western Economic Diversification Canada","Softchoice Corporation",P0900464,2008-12-30,"1222* - Data (message/text, and computer) communications equipment",,,153157.63,"Network switches for WD Edmonton.  This contract is a call-up against a Public Works and Government Services standing offer."
http://www.wd.gc.ca/eng/7772.asp?id=929,"Western Economic Diversification Canada","Excel Human Resources Inc.",P0900177,2008-12-19,"813* - Temporary help services",,,50450.40,"Temporary help services for WD Ottawa Liaison Office.  This contract was a call-up against a Public Works and Government Services standing offer that includes one or more amendment (original contract value = $22,226.40)."
http://www.wd.gc.ca/eng/7772.asp?id=917,"Western Economic Diversification Canada","Leadership Insight Inc.",P0900458,2008-12-18,"491* - Management consulting",,,25997.50,"360 Degree Feedback Survey and leadership development for B.C. Region managers.  This contract was competitively sourced."
http://www.wd.gc.ca/eng/7772.asp?id=905,"Western Economic Diversification Canada","DynTek Canada",P0900466,2008-12-18,"1226* - Computer equipment - large/medium - mainframe, mini",,,12399.50,"Citrix 7000 software and 1-year maintenance.  This contract was competitively sourced."
http://www.wd.gc.ca/eng/7772.asp?id=911,"Western Economic Diversification Canada","Samson &amp; Associes/Associates",P0900462,2008-12-17,"401* - Accounting and audit services",,,185876.25,"Western Diversification Program audit.  This contract was competitively sourced."
http://www.wd.gc.ca/eng/7772.asp?id=918,"Western Economic Diversification Canada","Trow Associates Inc.",P0900114,2008-12-16,"491* - Management consulting",,,83500.00,"Environmental assessment services for Community Economic Diversification Initiative Program (Mountain Pine Beetle) projects.  This contract was a call-up against a Public Works and Government Services standing offer that was amended (original contract value = $62,500.00)."
http://www.wd.gc.ca/eng/7772.asp?id=923,"Western Economic Diversification Canada","Irvine &amp; Associates Inc.",P0900454,2008-12-16,"491* - Management consulting",,,12075.00,"Keynote speaker and workshop facilitation for the Manitoba Manager&#39;s Forum, February 5-6, 2009.  This contract was competitively sourced."
http://www.wd.gc.ca/eng/7772.asp?id=920,"Western Economic Diversification Canada","Kelly Services (Canada) Ltd.",P0900376,2008-12-15,"813* - Temporary help services",,,11707.37,"Temporary help services for Reception in WD Saskatoon.  This contract was a call-up against a Public Works and Government Services standing offer that was amended (original contract value = $4,816.35)."
http://www.wd.gc.ca/eng/7772.asp?id=928,"Western Economic Diversification Canada","Harrington Staffing Services",P0900402,2008-12-11,"813* - Temporary help services",,,3543.75,"Temporary help services for WD Ottawa Liaison Office.  This contract was a call-up against a Public Works and Government Services standing offer that was amended (original contract value = $22,050.00)."
http://www.wd.gc.ca/eng/7772.asp?id=907,"Western Economic Diversification Canada","Gateway Mechanical Services Inc.",P0900452,2008-12-10,"1239* - Other office equipment and parts",,,24391.50,"New air conditioner for the WD Edmonton server room.  This contract was sole-sourced."
http://www.wd.gc.ca/eng/7772.asp?id=908,"Western Economic Diversification Canada","KPMG Consulting LLP",P0900432,2008-12-01,"401* - Accounting and audit services",,,10500.00,"Review of Distinctive Employment Counseling Services of Alberta Lending Program.  This contract was sole-sourced."
http://www.wd.gc.ca/eng/7772.asp?id=919,"Western Economic Diversification Canada","Stantec Consulting Ltd.",P0800594,2008-11-26,"491* - Management consulting",,,76325.00,"Environmental assessment services for the Canada/ Saskatchewan Municipal Rural Infrastructure Program and other WD projects if required.  This contract was competitively sourced and includes one or more amendments (original contract value = $42,400.00)."
http://www.wd.gc.ca/eng/7772.asp?id=921,"Western Economic Diversification Canada","Ebsco Canada Ltd.",P0900236,2008-11-18,"1143* - Printed matter, including books, newspapers, pictures, manuscripts and forms",,,10413.50,"1-year magazine subscriptions for the Canada/Manitoba Business Service Centre.  This contract was competitively sourced."
